ward_id,ward_name,ward_lat,ward_lon,point_id,dist_to_grid_km,nearest_station_id,dist_to_station_km,road_km_3km,road_capacity_3km,industry_count_5km,vulnerable_sites_3km
39,SULTANPUR MAJRA,28.6985,77.07187,20,3.11,10486,1.6,67.72,474.5,13.0,22.0
49,ROHINI NORTH,28.73891,77.13456,21,4.36,13,1.53,135.07,435.8,59.0,163.0
18,LIBAS PUR,28.7613,77.14599,27,4.34,13,3.18,75.68,393.5,36.0,3.0
254,BRAHAM PURI,28.68799,77.25885,22,2.27,8475,2.66,115.08,719.0,25.0,36.0
139,DICHAON KALAN,28.63788,76.9685,13,5.05,6936,5.52,69.92,258.7,7.0,9.0
99,MOTI NAGAR,28.66923,77.14545,21,3.46,6357,1.51,135.07,435.8,59.0,163.0
47,MANGOLPURI,28.69736,77.09081,21,4.81,10486,1.98,135.07,435.8,59.0,163.0
155,LAJPAT NAGAR,28.57354,77.24811,16,3.05,8365,0.67,177.0,846.9,51.0,65.0
145,PALAM,28.58659,77.07963,14,4.15,6931,1.89,124.23,323.1,16.0,115.0
172,KISHANGARH,28.51539,77.13996,9,1.71,4663956,1.55,34.51,149.7,16.0,7.0
226,VISHWASH NAGAR,28.66295,77.29746,23,5.85,8092,0.82,66.54,310.9,36.0,36.0
104,MADIPUR,28.67058,77.11582,21,4.03,5540,1.45,135.07,435.8,59.0,163.0
149,RAJENDER NAGAR,28.637,77.17958,15,5.64,5641,2.05,82.28,398.0,24.0,61.0
167,R. K. PURAM,28.5665,77.178,15,5.26,7044,0.94,82.28,398.0,24.0,61.0
163,SAFDARJANG ENCLAVE,28.55822,77.19857,16,6.16,17,1.27,177.0,846.9,51.0,65.0
164,HAUZ KHAS,28.55622,77.20852,16,5.76,5586,0.97,177.0,846.9,51.0,65.0
158,KOTLA MUBARAKPUR,28.57414,77.22012,16,3.47,6957,1.5,177.0,846.9,51.0,65.0
130,MANGLAPURI,28.59752,77.08401,14,4.31,5581,2.09,124.23,323.1,16.0,115.0
38,MANGOL PURI  NORTH,28.70024,77.08775,20,4.66,10486,2.05,67.72,474.5,13.0,22.0
106,TAGORE GARDEN,28.645,77.10486,15,6.07,5540,3.48,82.28,398.0,24.0,61.0
169,LADOSARAI,28.52352,77.18408,9,5.04,10484,1.05,34.51,149.7,16.0,7.0
1,NARELA,28.85481,77.11289,33,5.68,10485,3.71,29.18,226.2,39.0,2.0
